Issue,Severity,Status,Owner,ETA,Effort,Notes
/api/storage IDOR (forged x-user-id → any user's B2 files),CRITICAL,FIXED (this release),Agent,Shipped,4h,"middleware public-path removal + JWT overwrite + route 401 + download owner-match"
Signup grants 0 credits (welcome 6000 missing),CRITICAL,FIXED (this release),Agent,Shipped,1h,"/api/auth/signup now credits:6000 + welcome_bonus txn; root cause of 'nothing works'"
Rate limiting fails open (20 signups all 200); no limiter on chat,CRITICAL,FIXED (chat+support),Agent,Shipped,2h,"lib/rate-limit-edge sliding window; chat 100/min IP; support 30/min; auth DB-limiter still fail-open — ensure RateLimitEvent table"
vcp_ token pasted in chats (4x),CRITICAL,OPEN — ROTATE,Owner,Today,10min,"0 hits in bundles/repo verified; rotate anyway (paste hygiene)"
npm audit 109 vulns (5 critical: @auth/core homoglyph / fast-xml-parser / tar),HIGH,OPEN,Agent,1 week,2-3h,"npm audit fix in branch + regression test SSO/login; Next 14 pin risk"
auth_token cookie JS-set (no Secure/SameSite; 1yr; localStorage copy),HIGH,PARTIALLY FIXED,Agent,Shipped + 1 day,"Secure+SameSite=Strict+7d shipped; HttpOnly needs storage-page refactor"
No MFA on admin (romelraisul@gmail.com role=admin),HIGH,OPEN,Owner+Agent,2 weeks,1 day,"TOTP (no-dep HOTP impl) for role=admin logins; /admin/payments moves money"
TV stable-channels 3.8s (4x CREATE TABLE per request),MEDIUM,FIXED (this release),Agent,Shipped,30min,"ensureSchemaOnce per-instance guard; re-measure after deploy"
No analytics / no cookie-consent banner,MEDIUM,OPEN,Agent,1 week,2h,"@vercel/analytics + speed-insights free; first-party banner"
.env.docker tracked in public repo (local dev creds),MEDIUM,OPEN,Agent,Today,15min,"git rm --cached .env.docker + .gitignore entry"
Storage download UI pointed at nonexistent /api/storage/download/*,MEDIUM,FIXED (this release),Agent,Shipped,15min,"repointed to /api/storage/{userId}/{filename}"
B2 customer files stored us-east-005 vs BD data-localization draft,MEDIUM,OPEN (documented),Owner,Decision,—"docs/governance.md action item; consent clause or regional bucket"
/api/auth/register legacy route 500s,MEDIUM,OPEN,Agent,2 weeks,1h,"redirect/301 to /api/auth/signup; dead duplicate"
RateLimitEvent table missing (auth limiter fail-open),MEDIUM,OPEN,Agent,1 week,1h,"add to lib/ensure-schema.ts idempotent DDL"
IndexNow key + GSC/Bing submission absent,LOW,OPEN,Owner,1 week,1h,"seo/submit endpoint exists; needs key + manual submit"
WCAG contrast/keyboard systematic audit missing,LOW,OPEN,Agent,2 weeks,3h,"axe CLI pass on / and /dashboard"
Signup rate-limit effectiveness test post-fix,LOW,OPEN,Agent,Post-deploy,30min,"re-run 20-burst; expect 429 after 5"
